clinic_name,Country,state,region,Location,Practice Type,Turn Over Range,clinic_revenue,number_of_chair,Value Per Chair,Rank,Group,About the Premises,About the practice ,About The Area,Notes
N21533,"Australia, North-west Sydney",New South Wales,North-west Sydney,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",28,3,"Situated on the ground floor of a business park
3rd surgery plumbed with cabinetry.
Glass-fronted entrance allowing in natural light
Opposite train station
3 undercover parking spaces and 2 dedicated parking spaces directly outside the practice","Surrounded by professional offices, medical suites and cafes, this two-surgery practice and premises would be a fantastic purchase for a dentist looking to grow an already successful business. There is a third surgery fully plumbed with cabinetry. It is located on the ground floor of a commercial building in a business park, with prominent signage visible from the street and car park. It has been on an impressive growth trajectory over the last three financial years, grossing more than $600,000 in the last financial year. The vendor is selling in order to retire, but is happy to stay on for a period to assist with a smooth transition. The premises is also for sale; alternatively, the vendor will offer a long lease to the buyer. ","Bella Vista is a suburb of north-western Sydney, located 33 kilometres north-west of the CBD. The M2 and M7 motorways provide direct access to the Sydney metropolitan and Greater Sydney areas. The suburb is home to several shopping complexes and a major hotel. It is rapidly becoming the main business centre within the Hills District. The biggest commercial area is the Norwest Business Park on Norwest Boulevard to the east. Norwest Business Park incorporates retail, commercial, industrial and hotel developments. Bella Vista also has numerous established medical centres. Transport links include buses and trains, with the opening of the Bella Vista & Norwest railway stations as part of the North West Rail Link. ",
N28555,"Australia, Southwest Sydney",New South Wales,Southwest Sydney,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",29,3,"High visibility in a local shopping centre
2 fitted out surgeries
OPG
Situated in a local shopping centre
Stylish design and fitout 
Parking available in outdoor parking lot
Premises: 53 square metres","Ideally located in a local shopping centre, this two-surgery practice is surrounded by a major supermarket and numerous retailers. It has ample parking available to patients and staff and is easily accessible. The practice is owned by a corporate and has a team of employee dentists operating in it. ","Eagle Vale is a suburb of Sydney, 56 kilometres southwest of the CBD. There is a local shopping centre, leisure and aquatic centre, a primary and high school in the suburb. Transport links include quick access to the M5. Green space includes Eagle Vale Reserve, with picnic areas and playgrounds.",
NZ0611,"Australia, Auckland suburbs",New South Wales,Auckland suburbs,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",30,3,"Situated in a converted residential building
Located on one of the busiest roads in Auckland
Off-street parking
Premises size: 180 sq. m (land size: 808 sq. m)
Signage facing oncoming traffic
Cycle ways connecting to CBD","Take over a well-maintained practice with room for expansion in one of Auckland’s busiest suburbs. The 2-surgery practice has an additional room that can be converted into a surgery; the practice is currently underutilised, as the vendor is the sole dentist and only one chair is operational. The practice, which is located in a converted residential building on a main road, has large windows that allow in an abundance of natural light. There is onsite parking for patients and staff, in addition to street parking directly outside the practice. Visible signage faces passing traffic and pedestrians walking to and from a nearby school. The vendor is willing to consider offers for the property along with the practice. ","Henderson is a major residential suburb of West Auckland, 12km from the CBD. It is home to Henderson Park, a large green space with walking paths and a golf course, as well as hiking and biking trails that follow the tranquil Opanuku Stream through native bushland. Located in a former winery, Corban Estate Arts Centre hosts art classes, exhibitions and a cafe. The suburb’s large shopping centre, WestCity Waitakere mall, offers fashion and homewares, while The Boundary open-air complex has big-name retailers. Henderson is easily accessible, with train services and motorway access via the interchange at Lincoln Road, as well as numerous walkways and cycleways going through the suburb.",
NZ0618,"Australia, Auckland suburbs",New South Wales,Auckland suburbs,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",31,3,"6 dedicated on-site parking spots
Practice was renovated in 2007
Signage visible to pedestrians and vehicles
Located on busy main road
Wheelchair access
Bus stop outside","Don’t miss the chance to take over a recently renovated practice in an upmarket Auckland suburb. The practice, which is located on a main road, opposite an intersection, has excellent exposure to passing traffic. It operates with a solid team of employee dentists and DAs, with the vendor working three days a week. There is ample parking on the premises and a bus stop directly outside. The vendor owns the premises and will offer a long lease at market rent; alternatively, there is the option of purchasing the land. ","This is an affluent suburb located to the west of Auckland CBD. Auckland, based around two large harbours, is a major city in the north of New Zealand's North Island. In the centre, the iconic Sky Tower has views of Viaduct Harbour, which is full of superyachts and lined with bars and cafes. Auckland Domain, the city's oldest park, is based around an extinct volcano and home to the formal Wintergardens. This suburb has state and private schooling for all levels within the local area.",
N2654,"Australia, Waterloo",New South Wales,Waterloo,Metro,Dentist GP,$750K-$1M,875000,3,"291,667",35,3,"Ground floor glass-fronted reception area
Great exposure to car and pedestrian traffic
Signage facing the traffic
Equipment includes, intraoral camera, CBCT and Cerec Omnicam.","Spectacular design and meticulous planning have come together to create a dental practice that is both beautiful and functional. 

This stylish, 3-chair practice has been operating in this location for more than 8 years,  building a loyal and growing patient base as a result of its reputation for high-quality dental care.

It is located in a vibrant, upmarket street, bursting with trendy eateries, cafes and designer boutiques and galleries.","Waterloo is an inner city suburb of Sydney, three kilometres south of the CBD. The area has undergone much development in recent years, with a number of residential and commercial developments. Transport links include three train stations. Both Moore park and Centennial park are close by, with beaches a short drive away.",
N0001,"Australia, Macquarie Park",New South Wales,Macquarie Park,Metro,Dentist GP,$500K-$1M,750000,3,"250,000",41,4,"Three fully equipped surgeries
Situated in a large commercial building
Premises size: 125 square metres
Two dedicated parking spots
Unlimited visitor and staff parking","Are you looking for a state-of-the-art practice in the Northern Sydney region. This practice may tick all the boxes! The immaculately presented practice was established less than six years ago and has already built a solid patient base and generates impressive figures. The practice's figures have been achieved with the vendor being responsible for only 20% of production. The vendor is selling to move interstate, however, is willing to assist with a smooth transition for the patients, staff and referral base. Enquire now for more information on this fantastic opportunity in a great location. ","Macquarie Park is a suburb in the Northern Sydney region of Sydney, New South Wales, Australia. Macquarie Park is located 13 kilometres north-west of the Sydney central business district in the local government area of the City of Ryde. Macquarie Park (home to Macquarie University) is surrounded by suburbs such as Ryde and Chatswood, which all have major shopping centres, including Macquarie Centre, Top Ryde, Westfield Chatswood and Chatswood Chase. The suburb is well-serviced, with plenty of schools, sporting fields and national parks. It has great transport services, with a train station and plenty of buses, as well as easy access to freeway A3 heading north and M2/M7 heading west and south.",
N20022,"Australia, Eastern suburbs",New South Wales,Eastern suburbs,Metro,Dentist Specialist,>$1M,1000000,6,"166,667",46,4,"2 separate entrances, one catering to adults and one to children
Each practice has its own reception
Each practice has 2 chairs and a consult treatment room
Centrally located close to Westfield and train station
Only worked two days per week, due to other practice commitments, but in need of additional clinical days to address a healthy patient standby list
Situated in a large commercial tower in the centre of Bondi Junction
Beautifully presented reception
Premises size: 194.4 square metres 
Parking available in shopping centre ","A rare opportunity to purchase an orthodontic business with suites catering to both adults and children in the heart of the eastern suburbs of Sydney. The suites are located next door to each other in a large commercial tower, surrounded by other medical professionals, offices and hundreds of retailers and eateries. Both practices have sophisticated designs and fitouts and attract an upmarket clientele. There are two separate entrances to the practices, each with their own reception, chairs and consult treatment rooms. The practices are only operated two days a week by the vendor, presenting a buyer with plenty of scope to grow the business. ","This practice is located in the eastern suburbs of Sydney, approximately 6 kilometres east of the CBD. It has an abundance of offices, cafes, restaurants and a vast range of major retail outlets, supermarkets and department stores. There is a train station in the suburb linking it to Sydney’s CBD and the South Coast Line services. ",
N21131,"Australia, Ryde",New South Wales,Ryde,Metro,Dentist GP,<$500K,500000,1,"500,000",48,4,"Situated on a busy road in a commercial suite
Premises size: 32 sq. m
Large signage facing the street
Parking available on the street and in council car park
One dedicated parking space for the owner
One disabled parking spot on the street","Own a BUPA preferred provider practice located on a charming street in a north Sydney residential suburb. The one-chair practice is surrounded by local shops and cafes, with clear signage visible to pedestrians and traffic.  There is ample parking for patients and staff and multiple transport services connecting the suburb to the CBD and neighbouring suburbs.","This waterside suburb of northern Sydney is less than 15 kilometres from the CBD. It is situated on the banks of the Parramatta River, with transport links including ferry services to the city centre. There are also bus routes servicing the area and a train station just outside the border of the suburb. The suburb has a village feel, with a primary school, walking tracks along the river and cafes",
N22323,"Australia, Southern Sydney",New South Wales,Southern Sydney,Metro,Dentist GP,<$500K,500000,1,"500,000",49,4,"Professional suite on the ground floor of a residential complex in a central location
Walking distance to Sutherland Railway Station (600m),  Old Princess Hwy retail precinct (600m) and Sutherland Public School (450m)
2 allocated parking spots within the complex underground carpark
Free timed parking available on the street and council car park
Green, leafy surrounds
Premises size: 72 sqm","Located in a leafy residential suburb of southern Sydney, this one-surgery practice is perfect for a new dentist who is beginning their career. The practice is a BUPA preferred provider and heavily under-utilised. It is only open 2 days a week, with three additional mornings by appointment. There is huge scope to grow the business’s reach, as it does not have a website or social media presence. The premises, which is also for sale if the buyer wishes, is close to the local train station and within walking distance of schools, shops and restaurants. ","This mostly residential suburb of southern Sydney is approximately 26 kilometres south of the CBD. Transport links include train and bus services. The area is home to a large number of primary schools, secondary schools and a TAFE campus. Retail development includes major shopping centres and local complexes. The area has numerous parks and reserves, including the Royal National Park.",
N26166,"Australia, Southwest Sydney",New South Wales,Southwest Sydney,Metro,Dentist GP,<$500K,500000,2,"250,000",61,4,"Situated on the ground floor of a commercial building
Modern, stylish interior and fitout
Clear signage facing traffic
Corner of an intersection
Located in a busy retail street
Prominent branding on exterior of premises
Parking available in car park and bus stop across the road","A two-surgery Bupa preferred practice with excellent exposure is available to purchase in a vibrant, growing suburb. The practice sits at the corner of an intersection, at the entrance to a busy retail precinct. Its prominent signage is visible from two of the four sets of traffic lights at the intersection, and has good exposure to pedestrians and visitors to nearby businesses. The business was  relocated a few years ago and has a modern fit out and interior. ","Cabramatta is a suburb in Southwestern Sydney, located 30 kilometres south-west of the Sydney CBD. The suburb has a significant Vietnamese population, which has earned it the nickname 'Little Saigon'. There are two outdoor shopping plazas and a number of arcades and laneways. The Cabramatta has a vibrant dining scene, primary and high schools, parks and reserves. The Sydney CBD can be easily accessed by motorway or NSW Trains.",
N2059,"Australia, Northern Beaches",Northern Territory,Northern Beaches,Metro,Dentist GP,$750K-$1M,875000,3,"291,667",34,5,"Situated in a commercial building on the Manly Corso
Premises size: Approx 125 sq. m
Council parking lots nearby with free two-hour parking
Good exposure along the Corso and in the Arcade","Located in the heart of a popular beachside suburb, this long-established practice has been looking after the local and wider community for more than 50 years. The business has been owned by the vendors for more than 30 years and has built a solid and loyal patient base over that time. The practice has three light-filled surgeries, with ample parking and public transport services close by. There is scope to grow the business as there is no website or marketing undertaken. The vendors are willing to remain for a period of up to two years.  ","Manly is a beach-side suburb in northern Sydney, 17 kilometres from the CBD. The commercial part of Manly is centred around The Corso, which runs from the harbour side at Manly Wharf to the ocean side at Manly Beach. Part of The Corso is a mall, which allows outdoor dining for cafés and restaurants and has multiple bus and ferry services, attracting many people to the area. The commercial area extends to the surrounding streets, and more cafés and restaurants are concentrated along the ocean and harbour shores. The area has spectacular views, with beautiful sandy beaches, hidden coves, rock pools and coastal walking trails, giving residents and visitors plenty to do, including surfing, snorkelling, kayaking, stand-up paddleboarding, cycling and rollerblading. ",Under Offer
N20000,"Australia, Sydney CBD",Queensland,Sydney CBD,Metro,Dentist Specialist,$1.5M-$2M,1750000,2,"875,000",1,5,"Situated in a large commercial building in the centre of the CBD
Buses run along the street, train station nearby
Overlooking the CBD
Stylish reception with sweeping views of the city","This is the perfect opportunity for a dentist to move in and start operating straight away! Located in the heart of the Sydney CBD, this stylish premises is fitout and equipped, ready for a dentist to take over and make it their own. The practice has a welcoming reception area with large windows that let in an abundance of light, with beautiful views of the city and park. This sale is for equipment, fitout and the premises; there is No Goodwill.","The Sydney CBD is the main commercial centre of Sydney. It is in the north–south axis that runs from Circular Quay in the north to Central railway station in the south. The Sydney CBD is Australia's main financial and economic centre, as well as a leading hub of economic activity for the Asia-Pacific region. Its east–west axis runs from a chain of parkland that includes Hyde Park, The Domain, Royal Botanic Gardens and Farm Cove on Sydney Harbour in the east, to Darling Harbour and the Western Distributor in the west. It is also home to some of the city's most significant buildings and destinations, including the Opera House, Harbour Bridge and Botanic Gardens. ",
N2892,"Australia, Newcastle",Queensland,Newcastle,Metro,Dentist GP,>$1M,1000000,2,"500,000",8,5,"Situated along a busyshopping strip
OPG
Clear signage facing the traffic
Beautifully presented reception and waiting area","deally located on a busy road, opposite a pedestrian crossing, this high-grossing practice has been on an impressive growth trajectory, grossing more than $1m in the last financial year. The modern practice has a stylish, relaxed design and fitout. The practice has prominent signage, which is visible to pedestrians and passing traffic. ","This suburb of Newcastle lies just over 5 kilometres from the CBD. The suburb offers a family-friendly lifestyle, with tree-lined streets and parks, as well as access to Newcastle’s many beaches and waterfronts. Newcastle has undergone significant revitalisation in recent years and is a dynamic regional centre with a range of housing options, a relaxed lifestyle, beautiful beaches, a major university, excellent schools and hospitals. ",
Q4410,"Australia, South Brisbane",Queensland,South Brisbane,Metro,Dentist GP,$750K-$1M,875000,2,"437,500",14,5,"Situated in a stand-alone converted building 
Two light-filled surgeries + 1 additional plumbed room
New OPG
Premises size: 105 sq. m
Signage facing a busy street","Located in the heart of one of Brisbane’s most desirable inner-city suburbs, this BUPA preferred provider practice has serviced the local and wider population for almost 15 years. The practice sits on a busy street, close to an intersection, and is surrounded by cafes, retailers and office buildings. It is easily accessible, with buses servicing the street and parking outside. ","South Brisbane is an inner southern suburb of Brisbane, situated on the south bank of the Brisbane River. There is a choice of primary and secondary schools in the suburb and two university campuses. The area has a wealth of recreational activities, including parklands, dining and retail, a convention centre and museum. Transport links included buses, train and ferry services.",
N20221,"Australia, Sydney Eastern Suburbs",Queensland,Sydney Eastern Suburbs,Metro,Dentist GP,$2M+,2000000,5,"400,000",17,5,,"Take advantage of this rare opportunity to purchase an established multi-clinician practice with greater than $1.5m in turnover. The practice is well equipped and has 3 to 5 surgeries, a modern fitout, a spacious reception and waiting room. Located in one of Sydney’s most upmarket areas, the practice is a short distance from two major shopping centres, numerous retail shops, cafes and restaurants, and a rail and bus interchange. Patients have for their convenience a wide range of public transport options along with access to parking stations and on-street metered parking. 

The clinicians are willing to stay on to facilitate a smooth transition. 

This is a high quality multi-clinician practice best suited for experienced business owners,","The Eastern Suburbs is the metropolitan area directly to the east and south-east of the Sydney central business district in Sydney, Australia. This can include the suburbs within the local government areas of the Municipality of Woollahra, Waverley Council, City of Randwick, and parts of Bayside Council and the City of Sydney. The Australian Bureau of Statistics' ""Eastern Suburbs Statistical Subdivision"" includes only the Woollahra, Waverley and Randwick LGAs.",
N2433,"Australia, Sydney inner-city suburb",Queensland,Sydney inner-city suburb,Metro,Dentist GP,$500K-$1M,750000,2,"375,000",19,6,"Modern, sophisticated design and fitout 
Situated on the ground floor of a small residential block 
Other businesses include Woolworths, Medical centre, Pharmacy and more
Renovated in September 2021
Glass-fronted reception area
Premises size: 125 sq. m
Two parking spaces and street parking available
Bus stop across the road","Own a young, modern practice in a thriving inner-Sydney suburb! The practice was established three years ago and has been on an impressive growth trajectory, grossing more than $800,000 in the last financial year. The high-end practice has a sophisticated design and fitout. It is easily accessible, with ample street parking and a bus stop close by. Distinctive signage, which is clearly visible to passing traffic, faces a roundabout on a busy road. ","This inner-city suburb of Sydney, approximately 6 km south west of the CBD. It has a village-type atmosphere, with a small shopping strip around the railway station and several popular bars and hotels. Bordering Newtown and Redfern, the area is home to a thriving retail, entertainment and dining scene. Two primary schools are based in the suburb and there are secondary schools nearby. ",
"Q4601
","Australia, North Brisbane Suburb",Queensland,North Brisbane Suburb,Metro,Dentist GP,$1.5M-$2M,1750000,5,"350,000",20,6,"5 surgeries with plenty of room to grow
Cerec, Primescan, CBCT 
Ample onsite parking
Prominent signage facing main road
Situated on the ground floor of a stand-alone building 
Adjacent to a local shopping village
Parking at rear of premises
Signage and access to clinic on two streets","This 5-surgery practice has been established in the area for almost 40 years and has a large patient database. The practice sits on a busy main road in a commercial area, close to an intersection and has great exposure, with prominent signage visible to traffic in both directions and has ample onsite parking. 

The vendors, are happy to stay on post sale to ensure a smooth transition.",This practice is located in a suburb less than 45 kilometres north of Brisbane CBD. There are numerous schools and sporting clubs throughout the suburb.,
Q2222,"Australia, South of Brisbane CBD",Queensland,South of Brisbane CBD,Metro,Dentist GP,>$1M,1000000,3,"333,333",21,6,"Situated in a commercial centre
Renovated in 2020
Close to a local shopping centre
Light-filled surgeries
At the intersection of a major road
Ample parking available
Prominent signage
Easily accessible, with bus stops outside the practice","Own a 3 Chair, preferred provider practice in a growing suburb, south of the Brisbane CBD. The BUPA and Medibank preferred provider practice has been looking after the dental needs of the local and wider community for more than 30 years, and has built a reputation for high-quality dental care over that time. The practice is located in the suburb's retail area, with ample parking and easy access via public and private transport. Prominent signage is visible from both sides of a busy intersection.","Buranda lies less than 5km south of the Brisbane CBD. It is an important transport hub, with the Pacific Motorway passing through the area, a train station and bus links. The suburb is projected to undergo significant growth, as it is set to become a Proposed Transit Location, with the development of Buranda Village, which will include new office and apartment buildings and a hotel. 6 new apartment blocks have already been constructed in the suburb. There is a state primary school in the suburb and numerous options in surrounding areas. Shops are centred around Ipswich Road and there is a shopping centre, hospital, parks and reserves. ",
Q40400,"Australia, Brisbane CBD",Queensland,Brisbane CBD,Metro,Dentist GP,$1M-$1.5M,1250000,4,"312,500",32,6,"Situated in a commercial building in the heart of the CBD
Elegant reception area with natural light
Premises size: 110 square metres
Prime scanner and Cerec","Own a busy 4-chair BUPA preferred provider in Brisbane’s CBD! The practice is located in a commercial building, close to the Botanic Gardens and the Brisbane River. The practice has a charming reception area, with large windows that let in an abundance of natural light. The practice has grossed almost $1.5m in the last few financial years, while operating 4.5 days a week, with no evenings or weekends. The vendor is selling to have a better work-life balance and is happy to stay on post sale. ","Brisbane’s CBD is one of the major business hubs in Australia, located in the heart of Queensland’s state capital, on the northern bank of the Brisbane River. The CBD’s many tall office buildings are occupied by organisations, businesses and all three levels of government, while the area around the Queen Street Mall and Adelaide Street is primarily a retail precinct. ",
Q4161,"Australia,Brisbane suburbs",Queensland,Brisbane suburbs,Metro,Dentist GP,$750K-$1M,875000,3,"291,667",36,6,"Situated in a converted residential building
Modern, stylish design 
Parking available on the street and on site
Clear signage facing traffic
Buses run along the road
On a main road
Close to an early learning centre and school 
3 surgeries
Property could also be for sale
Trios scanner
Renovated in 2021","Located in a converted residential building, this high-grossing practice has been on an impressive trajectory, projected to gross more than $900,000 in this financial year. The recently renovated practice does not operate evenings or weekends and does mostly general and cosmetic dentistry. It is easily accessible, with a bus stop directly outside and ample street and on-site parking available for patients and staff. It is located in a residential suburb, close to a school and an early learning centre. The property is also potentially for sale. ","This coastal northern suburb of Brisbane is approximately 30 minutes from the CBD. There is a woodland wetland and an esplanade along the coast, with walking and cycling tracks. Three transport links include easy access to the M1, trains and bus routes.",
Q43353,"Australia, Toowoomba",Queensland,Toowoomba,Metro,Dentist GP,$750K-$1M,875000,3,"291,667",37,7,"Situated in a busy shopping centre
Centre houses 24 retail and grocery stores, together with doctors, a pathologist and a pharmacy
Ample parking in outdoor parking lot
Bus stop outside the centre
Large signage visible to traffic
Premises size: 120 square metres","Located in a busy shopping village in a residential suburb of Toowoomba, this three-surgery practice grossed almost $1m in the last financial year. The practice, which was established in 1984, is not key-person dependent, as the vendor is responsible for less than 40% of production and employs a team of senior associate dentists. The practice generates this impressive turnover without operating evenings or weekends.","This residential suburb of Toowoomba has a private primary and secondary school, with several excellent options in neighbouring suburbs, including the University of Southern Queensland’s main campus and a TAFE campus. Amenities include four shopping villages, parks with playgrounds and numerous sporting facilities.

Toowoomba is a rapidly growing regional city in Queensland, 125km west of Brisbane. After Canberra, it is the most populous inland city in Australia. With more than 150 public parks and gardens and trees lining many of the city streets, it is aptly nicknamed “The Garden City”. Transport links include bus services within the city and to Brisbane. Both an airport and an aerodrome service the area.",
